"id","aliases","manufacturer","manufactureruri","modelnumber","modelsupporturi","modelinformationuri","name","tags","macaddresses","behaviour"
"5ee86a2f-0273-4af6-b583-43ce306c5f9b","","Woorigisool, Inc.","https://device-type.com","","","","Woorigis","","['00:02:90:00:00:00/24']",""
"8a0d6774-e765-492b-be1e-f7640280947f","","Malin Space Science System","https://device-type.com","","","","MalinSpa","","['70:B3:D5:FE:50:00/36']",""
"bc774bc1-7593-4b4d-80f9-a0d690b759e0","","","https://device-type.com","","","","Ledger","","['B0:B3:53:A0:00:00/28']",""
"bc7c5907-2335-4a48-a50f-e04ce9653079","","CEIA S.p.A.","https://device-type.com","","","","CEIA","","['00:0A:26:00:00:00/24']",""
"13ae16ca-c3ac-42e1-9088-7ca7c3aa4b13","","Zipit Wireless, Inc.","https://device-type.com","","","","ZipitWir","","['00:1D:04:00:00:00/24']",""
"72af3fad-333a-430f-b199-1f2cbfb5a5b7","","Carnegie-Mellon University","https://device-type.com","","","","Carnegie","","['08:00:7F:00:00:00/24', 'CC:4D:38:00:00:00/24']",""
"0e3478bb-c8c9-4e9e-af9e-8afa6193827c","","Symmetric Computer Systems","https://device-type.com","","","","Symmetri","","['00:00:BF:00:00:00/24', '00:20:FF:00:00:00/24', '00:A0:69:00:00:00/24', '00:B0:AE:00:00:00/24']",""
"e35777d5-9a60-4ba7-a6fa-b07c9cd877bf","","Bosch Building Automation GmbH","https://device-type.com","","","","BoschBui","","['04:26:05:00:00:00/24']",""
"82554dc4-7eeb-470e-ac0b-bcd1f4280180","","WalkAbout Computers, Inc.","https://device-type.com","","","","WalkAbou","","['00:90:67:00:00:00/24']",""
"cf161972-d274-4c4d-a615-cd39a838f571","","Act'L","https://device-type.com","","","","ActL","","['00:03:27:00:00:00/24']",""
"8766badc-8f23-420b-a0de-a6635c483be9","","Avaya ECS Ltd","https://device-type.com","","","","AvayaECS","","['00:E0:07:00:00:00/24']",""
"bd20fbd2-428a-48e4-8ed6-c987b254072b","","Ontimetek Inc.","https://device-type.com","","","","Ontimete","","['00:12:AC:00:00:00/24']",""
"597103f5-9c54-42b6-9122-6219f37ff09e","","Performance Analysis Broadband, Spirent plc","https://device-type.com","","","","Performa","","['00:10:94:00:00:00/24', '00:50:C2:84:C0:00/36', '00:60:A5:00:00:00/24', '00:60:F3:00:00:00/24', '00:C0:8C:00:00:00/24', '28:F5:37:E0:00:00/28', '70:B3:D5:8D:30:00/36', 'EC:3E:09:00:00:00/24']",""
"360e4970-aa04-416e-a8a6-e80df32fc5ed","","Ecoliv Technology ( Shenzhen ) Ltd.","https://device-type.com","","","","EcolivTe","","['DC:1A:01:00:00:00/24']",""
